900 9000
167 640 22
448 431 22
88 617 10
439 33 14
15 590 29
574 653 38
629 21 7
129 859 26
673 459 24
348 684 19
897 323 11
77 426 16
749 569 31
713 751 6
432 215 10
751 230 3
542 218 7
200 160 23
60 234 26
520 96 19
184 312 12
500 524 27
81 476 18
887 795 18
125 724 21
659 440 29
464 695 26
387 645 23
421 62 25
440 837 30
589 2 4
892 77 20
156 467 19
529 567 19
539 439 18
645 804 17
653 527 18
641 612 5
608 655 24
826 103 16
104 63 23
760 302 29
420 759 14
502 17 11
407 289 23
851 196 15
183 240 25
589 526 10
676 114 24
782 736 25
240 114 32
597 294 7
309 478 23
501 77 23
424 455 8
384 288 13
28 831 4
592 881 30
838 212 35
189 743 17
311 462 23
897 482 13
807 50 11
143 56 17
888 2 13
192 66 33
516 561 11
773 451 22
106 787 22
717 255 18
386 842 17
622 421 20
662 99 28
842 698 23
147 67 18
813 733 24
899 59 19
70 623 38
193 273 24
606 365 13
556 489 18
757 586 18
848 532 2
675 315 6
490 650 25
471 572 5
544 717 14
679 19 16
88 461 30
351 376 35
874 512 14
794 615 20
93 713 34
696 727 20
407 296 13
56 637 19
10 657 17
808 760 34
526 202 18
43 573 23
402 134 20
426 4 11
716 771 19
562 161 6
302 81 18
146 41 9
768 54 19
507 144 22
843 564 21
401 770 20
581 96 22
381 57 19
34 586 21
144 184 34
286 425 12
187 559 24
432 717 -4
545 354 32
370 124 23
824 21 12
309 779 29
440 158 16
156 343 24
181 512 27
269 72 30
891 468 20
379 411 20
866 17 22
870 220 15
757 241 25
3 818 15
192 202 22
749 840 31
514 223 13
261 167 20
854 158 15
392 801 23
688 213 12
598 857 21
149 182 23
657 755 -6
140 407 26
848 325 12
407 783 12
218 360 23
284 347 5
578 249 15
758 493 22
810 413 16
43 431 18
830 323 27
357 340 28
752 309 21
456 305 11
51 890 23
539 41 25
161 629 22
351 541 15
427 777 19
194 393 12
698 822 16
586 364 19
721 218 19
808 19 30
135 265 23
224 675 29
595 27 24
60 341 17
876 593 20
699 880 35
52 439 18
361 283 14
563 543 12
270 362 16
279 425 19
816 321 25
374 573 17
306 237 18
589 567 29
423 129 18
561 431 22
567 101 16
589 481 16
401 251 3
711 668 23
154 192 1
233 58 22
757 558 34
871 699 11
684 746 26
139 299 18
520 379 34
187 858 23
320 869 18
249 503 14
209 217 26
827 779 20
164 444 20
686 404 25
715 428 8
231 239 17
382 488 22
499 657 16
828 244 12
676 788 32
141 702 23
727 651 17
315 809 20
651 825 19
471 82 18
21 726 -2
406 730 26
280 874 21
827 676 23
479 404 12
717 21 13
183 899 21
366 58 24
79 271 18
64 447 11
416 328 22
633 663 25
729 534 20
880 1 22
526 335 13
744 152 27
531 471 24
136 865 29
551 519 29
199 17 23
233 369 31
660 582 14
815 882 7
450 441 18
738 854 4
226 873 32
384 783 20
374 160 24
411 291 25
806 654 25
609 518 33
641 529 27
385 37 15
673 698 22
118 234 9
595 241 24
73 625 21
394 101 19
661 359 23
320 753 27
150 85 24
334 607 22
320 336 10
402 376 7
870 508 13
841 342 43
814 440 18
708 869 23
257 435 33
608 842 10
774 121 25
696 230 11
837 698 5
460 595 10
691 729 10
668 320 14
594 436 4
795 423 35
524 446 15
674 706 18
771 374 21
513 806 26
381 227 32
713 859 16
864 206 10
34 580 11
452 596 14
498 575 13
516 842 17
194 563 14
597 493 14
167 790 7
708 250 20
315 653 28
629 709 25
886 418 15
332 453 5
585 715 16
676 840 20
217 739 28
757 122 26
176 847 18
55 237 12
428 680 30
590 560 27
776 356 34
27 692 30
205 21 18
317 468 21
754 359 16
797 336 15
757 132 26
347 457 5
725 442 22
195 766 33
716 677 26
332 650 24
44 685 17
241 19 28
179 88 8
844 615 14
677 125 19
688 126 13
75 159 25
393 514 21
843 285 16
303 214 16
540 493 15
475 316 19
750 640 27
447 427 38
834 421 8
863 77 25
477 243 19
57 107 33
688 531 15
521 643 12
337 505 23
361 112 24
567 388 23
38 99 15
66 344 32
721 141 13
665 155 19
274 126 17
203 517 17
305 15 22
686 259 16
265 657 24
565 12 17
626 28 13
749 103 11
520 494 9
538 515 14
140 469 24
45 499 23
861 747 22
387 862 28
262 126 10
19 451 19
597 734 14
879 638 24
338 739 22
681 668 12
887 406 19
691 816 7
40 740 21
194 655 13
715 348 23
55 666 23
834 648 21
641 469 13
883 285 16
456 612 14
696 649 34
361 500 22
137 299 24
145 693 32
517 837 24
502 382 16
149 771 9
462 606 22
149 860 20
676 385 31
361 162 17
450 339 21
