46 856
28 11 13
14 27 14
45 17 27
21 0 22
32 13 31
32 29 30
28 33 15
36 31 14
34 29 6
18 31 29
30 4 10
19 10 18
26 44 23
25 42 22
40 4 -12
6 28 -2
3 12 21
18 10 34
23 2 11
2 43 20
2 6 30
44 40 20
26 4 29
21 10 1
43 32 28
1 27 25
19 20 21
25 33 22
18 37 24
3 26 28
15 12 9
23 30 22
14 11 30
37 23 21
24 45 27
31 19 19
35 29 32
15 40 15
42 29 21
40 44 3
37 31 6
5 44 41
1 6 18
41 6 11
15 33 16
45 0 26
27 41 32
2 42 24
28 42 14
33 36 18
16 25 19
44 28 25
33 6 -1
45 5 6
0 1 20
4 12 16
0 3 27
15 41 24
44 31 -8
4 43 25
17 22 48
36 25 18
14 31 11
34 23 11
27 32 33
15 6 30
39 13 22
1 11 22
9 41 8
29 39 29
40 13 27
11 24 32
4 11 0
13 2 5
28 14 -1
18 35 15
38 33 21
29 19 22
7 5 45
0 21 29
29 13 20
14 39 37
12 31 16
21 44 11
40 32 36
44 24 20
21 29 5
14 21 0
24 8 34
37 44 28
7 25 27
9 20 35
36 39 12
30 40 5
23 44 7
11 37 42
19 38 12
42 26 32
18 5 17
0 34 19
12 36 17
35 11 41
45 14 29
28 19 24
10 43 23
25 11 28
38 40 10
33 28 30
13 43 17
18 23 9
24 18 12
28 17 35
20 2 12
4 13 14
45 38 8
41 1 11
12 42 41
41 2 7
41 37 25
33 5 15
45 19 24
14 17 29
34 21 20
11 23 35
5 41 13
2 35 15
28 43 -1
18 3 30
17 27 14
38 19 31
0 29 17
34 39 15
29 6 18
39 36 -2
41 25 5
35 36 9
17 3 23
7 30 36
44 16 29
16 33 22
19 3 26
8 38 26
6 1 9
36 34 28
23 3 9
0 42 41
6 24 26
9 22 20
44 2 21
21 5 20
2 45 23
19 30 19
15 14 28
6 3 18
37 11 29
43 27 21
27 0 54
11 26 26
20 38 4
8 21 23
43 0 28
22 10 9
44 37 19
24 44 14
13 11 35
32 1 22
39 25 -6
13 3 25
35 19 3
22 20 17
6 16 18
15 0 32
44 21 7
31 6 12
23 35 31
42 3 23
26 30 19
0 18 20
7 43 0
29 2 20
6 4 18
4 36 31
10 14 27
3 6 13
2 25 15
8 0 27
19 12 18
0 43 -26
36 9 18
24 13 29
40 31 25
21 17 38
40 35 22
38 43 28
25 27 19
7 10 7
24 1 18
36 32 36
4 42 22
31 34 5
4 7 7
19 9 21
12 10 2
34 25 17
38 25 10
7 28 23
13 1 35
38 45 17
10 25 14
32 12 11
5 0 36
43 3 15
41 28 22
9 27 30
23 25 29
28 3 20
41 26 14
37 13 22
15 4 16
17 39 5
10 12 3
43 2 30
2 9 20
9 32 -12
0 38 57
11 34 30
35 22 24
22 30 2
17 45 9
7 33 23
19 1 6
33 39 4
8 31 -9
43 13 34
9 42 26
39 44 6
45 20 19
7 44 40
3 16 5
3 33 25
32 41 30
39 22 49
36 37 2
2 19 29
44 9 26
6 29 42
7 40 24
44 32 27
21 16 7
29 24 43
1 16 26
26 28 12
3 13 16
3 27 24
2 39 11
37 36 17
9 1 2
18 16 33
40 10 24
37 32 21
8 35 32
44 22 19
30 13 14
27 33 21
40 41 15
3 34 20
7 45 32
24 25 24
1 43 22
21 11 21
28 7 22
41 15 17
7 12 28
29 36 19
24 42 36
28 8 24
23 20 11
1 13 36
4 8 22
27 9 17
33 27 37
6 7 3
15 16 7
22 15 9
38 5 25
23 39 28
23 22 12
29 15 11
15 11 25
21 24 23
28 10 37
18 40 3
7 11 8
39 41 23
30 29 26
33 20 0
39 7 40
19 40 36
2 33 33
15 24 32
26 12 28
5 8 10
29 27 20
9 19 28
13 25 23
38 30 20
30 23 32
42 9 27
15 39 10
33 17 30
14 8 21
3 30 -5
6 44 39
16 1 10
16 23 15
31 8 -4
14 5 21
37 28 35
17 29 14
32 0 16
41 4 9
30 31 18
23 13 15
5 29 14
24 33 18
19 41 51
31 43 27
0 24 28
31 27 23
5 43 21
15 10 1
12 27 25
35 23 8
45 8 30
44 12 31
40 22 10
45 29 26
30 18 15
31 30 38
